service,year,month,url
green,2013,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-09.parquet
green,2013,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-10.parquet
green,2013,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-11.parquet
green,2013,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2013-12.parquet
green,2014,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-01.parquet
green,2014,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-02.parquet
green,2014,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-03.parquet
green,2014,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-04.parquet
green,2014,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-05.parquet
green,2014,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-06.parquet
green,2014,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-07.parquet
green,2014,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-08.parquet
green,2014,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-09.parquet
green,2014,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-10.parquet
green,2014,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-11.parquet
green,2014,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2014-12.parquet
green,2015,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-01.parquet
green,2015,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-02.parquet
green,2015,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-03.parquet
green,2015,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-04.parquet
green,2015,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-05.parquet
green,2015,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-06.parquet
green,2015,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-07.parquet
green,2015,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-08.parquet
green,2015,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-09.parquet
green,2015,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-10.parquet
green,2015,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-11.parquet
green,2015,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-12.parquet
green,2016,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-01.parquet
green,2016,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-02.parquet
green,2016,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-03.parquet
green,2016,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-04.parquet
green,2016,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-05.parquet
green,2016,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-06.parquet
green,2016,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-07.parquet
green,2016,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-08.parquet
green,2016,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-09.parquet
green,2016,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-10.parquet
green,2016,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-11.parquet
green,2016,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-12.parquet
green,2017,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-01.parquet
green,2017,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-02.parquet
green,2017,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-03.parquet
green,2017,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-04.parquet
green,2017,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-05.parquet
green,2017,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-06.parquet
green,2017,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-07.parquet
green,2017,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-08.parquet
green,2017,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-09.parquet
green,2017,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-10.parquet
green,2017,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-11.parquet
green,2017,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-12.parquet
green,2018,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-01.parquet
green,2018,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-02.parquet
green,2018,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-03.parquet
green,2018,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-04.parquet
green,2018,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-05.parquet
